@ , evento inesperado,,,,
@ , detecção,,,,
@ , prevenção,,,,
@ , fornecedor,,,,
1, provedor                  , 10677271-n-1              , ,,
2, vendedor                  , 10577284-n-3              , ,,
4, comerciante               , 10577284-n-2              , ,,
@ , resiliência,,,,
0, elasticidade              , 05020697-n-2              , ,,
@ , perda,,,,
0, derrota                   , 00067526-n-1              ," o ato de perder alguém ou algo; ""todo mundo esperava que ele ganhasse  portanto sua derrota foi um choque""  ",,
3, desgaste                  , 13328273-n-1              , ,,
4, perdas                    , 13328273-n-2              , ,,
5, prejuízo                 , 13328273-n-3              , ,,
8, privação                , 05162985-n-3              , ,,
@ , ataque,,,,
1, atentado                  , 00773814-n-1              , ,,
2, assalto                   , 00773814-n-2              , ,,
3, ataque                    , 00977301-n-1              ," uma agressão que se destina a aproveitar  provocar danos ou destruir um objetivo; ""o ataque foi programado para o começar ao amanhecer "" ",,
@ , participante,,,,
4, activo                    , 01515280-a-1              , ,,
@ , organização,,,,
2, sociedade                 , 08049401-n-3              , ,,
3, ordem                     , 08049401-n-5              , ,,
4, associações             , 08049401-n-1              , ,,
5, união                    , 08049401-n-4              , ,,
6, organização             , 08435388-n-1              , ,,
7, sistema                   , 08435388-n-2              , ,,
8, organização             , 01008378-n-1              ," a atividade ou resultado de distribuição ou disposição de pessoas ou coisas corretamente ou metodicamente; ""sua organização da força de trabalho foi muito eficiente "" ", ,
9, estrutura                 , 05726596-n-2              , ,,
13, estabelecimento           , 00237078-n-3              ," o ato de formar ou estabelecer alguma coisa; ""a constituição de uma associação de pais e professores""; ""foi o estabelecimento da sua reputação""; "" ele ainda se lembra da organização do clube"" ", ,
14, constituição            , 00237078-n-2              ," o ato de formar ou estabelecer alguma coisa; ""a constituição de uma associação de pais e professores""; ""foi o estabelecimento da sua reputação""; "" ele ainda se lembra da organização do clube"" ", ,
17, administração           , 08164585-n-1              , ,,
@ , método comportamental,,,,
@ , fraude,,,,
1, hoax                      , 00753685-n-3              , ,,
2, trote                     , 00753685-n-1              , ,,
@ , risco de liquidez,,,,
@ , sinistro,,,,
@ , default,,,,
@ , risco setorial,,,,
@ , banco central,,,,
0, Bancos centrais           , 08349916-n-2              , ,,
@ , risco de crédito,,,,
@ , grupo de resposta,,,,
@ , exposição,,,,
1, exibição                , 00521209-n-1              , algo mostrado ao público , ,
3, vulnerabilidade           , 14543931-n-1              , ,,
@ , contramedidas,,,,
@ , concentração,,,,
4, atenção                 , 05650579-n-1              , ,,
5, densidade                 , 04941453-n-4              , ,,
@ , infraestrutura,,,,
@ , ativo,,,,
@ , regra,,,,
0, regulamentos              , 05846054-n-5              , ,,
1, lei                       , 05846054-n-2              , ,,
4, norma                     , 05846054-n-3              , ,,
@ , risco técnico,,,,
@ , limite,,,,
1, limitação               , 05124057-n-1              , ,,
3, fronteira                 , 03264542-n-2              , ,,
13, fronteiras                , 08512259-n-1              , ,,
16, máximo                   , 05124928-n-1              , ,,
19, delimitação             , 08512736-n-2              , ,,
22, perímetro                , 13871452-n-2              , ,,
27, margem                    , 08565701-n-1              , ,,
@ , máquina,,,,
@ , risco político,,,,
@ , especialistas,,,,
@ , serviço,,,,
3, instalação              , 03315023-n-2              , ,,
6, serviço                  , 00719705-n-1              , uma parte específica do trabalho que requer ser feito como um dever ou por honorário específico , ,
7, incumbência              , 00719705-n-2              , uma parte específica do trabalho que requer ser feito como um dever ou por honorário específico , ,
13, profissão                , 00582388-n-5              , ,,
14, função                  , 00582388-n-2              , ,,
15, serviço                  , 00582388-n-3              , ,,
16, emprego                   , 00582388-n-8              , ,,
17, ofício                   , 00582388-n-1              , ,,
18, trabalho                  , 00582388-n-6              , ,,
19, ocupação                , 00582388-n-7              , ,,
@ , infraestrutura crítica financeira,,,,
@ , risco principal,,,,
